station_id,station_name,lat,lon,first_trip,last_trip,rides,geoid
3370.0,E 78 St & 2 Ave,40.7727966,-73.95577801,2016-09-01,2019-07-31,35133,36061013400
3371.0,4 Ave & 2 St,40.674613422475815,-73.98501142859459,2016-12-01,2019-04-30,12345,36047013500
3372.0,E 74 St & 1 Ave,40.7689738,-73.95482273,2016-09-01,2019-07-31,65239,36061012400
3374.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,2016-09-01,2019-07-31,111439,36061014300
3375.0,3 Ave & E 72 St,40.7699426,-73.96060712,2016-09-01,2019-07-31,29240,36061012800
3376.0,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,2016-09-01,2019-07-31,41145,36061011800
3377.0,Carroll St & Bond St,40.6786115,-73.99037292,2016-09-01,2019-07-31,28889,36047007700
3378.0,E 76 St & Park Ave,40.773763,-73.96222088,2016-09-01,2019-07-31,43727,36061013000
3381.0,3 St & Hoyt St,40.6777287,-73.99364123,2016-09-01,2019-07-31,17880,36047007700
3384.0,Smith St & 3 St,40.67872420000001,-73.99599099,2016-09-01,2019-07-31,28671,36047007700
3399.0,7 St & 3 Ave,40.67260298150126,-73.98983001708984,2016-09-01,2019-07-31,15786,36047011900
3407.0,Union St & Nevins St,40.67909799721684,-73.98765474557877,2016-10-01,2019-07-31,27728,36047011900
3409.0,Bergen St & Smith St,40.686744299999994,-73.99063168,2016-09-01,2019-07-31,93000,36047006900
3412.0,Pacific St & Nevins St,40.6853761,-73.98302136,2016-09-01,2019-07-31,27006,36047003900
3414.0,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,2016-09-01,2019-07-31,37383,36047012902
3418.0,Plaza St West & Flatbush Ave,40.67502070000001,-73.97111473,2016-09-01,2019-07-31,59817,36047015900
3423.0,West Drive & Prospect Park West,40.6610633719006,-73.97945255041121,2016-09-01,2019-07-31,73634,36047017700
3424.0,E 106 St & Lexington Ave,40.791976,-73.945993,2016-09-01,2019-07-31,15009,36061017200
3429.0,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,2016-09-01,2019-07-31,112788,36047003500
3430.0,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,2016-09-01,2019-07-31,32793,36047047700
3431.0,E 35 St & 3 Ave,40.746524,-73.977885,2016-09-01,2019-02-28,69131,36061008000
3432.0,NYCBS Depot - GOW,40.66906013501107,-73.99463653564453,2016-09-01,2019-06-30,1522,36047011700
3434.0,W 88 St & West End Ave,40.79025417330417,-73.97718340158461,2016-09-01,2019-07-31,36997,36061017500
3435.0,Grand St & Elizabeth St,40.718821999999996,-73.99596,2016-09-01,2019-07-31,187190,36061004100
3437.0,Riverside Dr & W 91 St,40.79313480986664,-73.97700369358063,2017-07-01,2019-07-31,25239,36061017900
3438.0,E 76 St & 3 Ave,40.772248537721744,-73.95842134952545,2016-11-01,2018-09-30,23978,36061013400
3440.0,Fulton St & Adams St,40.692418292578466,-73.98949474096298,2016-11-01,2019-07-31,71492,36047001100
3441.0,10 Hudson Yards,40.752957,-74.00264,2017-03-01,2019-07-31,10303,36061009900
3443.0,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,2017-01-01,2019-07-31,142452,36061013100
3449.0,Eckford St & Engert Ave,40.72146256229816,-73.94800901412964,2017-03-01,2019-07-31,14291,36047049900
3452.0,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,2017-02-01,2019-07-31,21418,36047051500
3453.0,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,2017-02-01,2019-07-31,30911,36047050300
3454.0,Leonard St & Maujer St,40.71036854235229,-73.94705951213838,2017-02-01,2019-07-31,22695,36047050500
3456.0,Jackson St & Leonard St,40.716380319735606,-73.94821286201476,2017-03-01,2019-07-31,8183,36047050100
3457.0,E 58 St & Madison Ave,40.763025942805186,-73.97209525108337,2017-04-01,2019-05-31,35485,36061011202
3458.0,W 55 St & 6 Ave,40.76309387270797,-73.97835016250609,2017-05-01,2019-05-31,82763,36061013700
3459.0,E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,2017-04-01,2019-07-31,73540,36061009800
3461.0,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,2017-05-01,2019-07-31,78139,36061002100
3462.0,E 44 St & 2 Ave,40.75118387463277,-73.97138714790343,2017-04-01,2019-02-28,37954,36061009000
3463.0,E 16 St & Irving Pl,40.735367055605394,-73.98797392845155,2017-04-01,2019-07-31,89634,36061005000
3466.0,W 45 St & 6 Ave (OLD),40.75668720603179,-73.98257732391356,2017-05-01,2019-04-30,52295,36061009600
3467.0,W Broadway & Spring Street,40.72494672359416,-74.00165855884552,2017-08-01,2019-07-31,80726,36061004900
3468.0,NYCBS Depot - STY - Garage 4,40.73038010000001,-73.9747502,2017-05-01,2018-07-31,508,36061004400
3469.0,India St & West St,40.73181401720966,-73.95995020866394,2017-06-01,2019-07-31,16778,36047056500
3472.0,W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,2017-06-01,2019-07-31,81489,36061008300
3474.0,6 Ave & Spring St,40.7252556952547,-74.00412082672119,2017-06-01,2019-03-31,58525,36061004700
3477.0,39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.01062786579129,2017-07-01,2019-07-31,5340,36047001800
3478.0,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863,2017-07-01,2019-07-31,14257,36047001800
3479.0,Picnic Point,40.68512559515415,-74.02535319328308,2017-08-01,2019-07-31,13554,36061000500
3486.0,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,2017-09-01,2019-07-31,41442,36047003700
3489.0,Gold St & Frankfort St,40.710699946313866,-74.00354146957396,2017-08-01,2019-01-31,18083,36061001501
3490.0,E 116 St & 2 Ave,40.796879,-73.93726099999998,2017-09-01,2019-07-31,8516,36061018800
3491.0,E 118 St & 1 Ave,40.797470000000004,-73.93504,2017-10-01,2019-07-31,10607,36061018800
3492.0,E 118 St & Park Ave,40.8005385,-73.9419949,2017-09-01,2019-07-31,4645,36061018200
3493.0,E 118 St & 3 Ave,40.799139000000004,-73.9389152,2017-09-01,2019-07-31,10482,36061018800
3494.0,E 115 St & Lexington Ave,40.797911,-73.9423,2017-09-01,2019-07-31,11438,36061018200
3495.0,E 114 St & 1 Ave,40.79456629999999,-73.9362541,2017-09-01,2019-07-31,8966,36061017800
3496.0,1 Ave & E 110 St,40.7923272,-73.9383,2017-09-01,2019-07-31,20826,36061018000
3497.0,Pleasant Ave & E 116 St,40.794987899999995,-73.9333349,2017-09-01,2019-07-31,25456,36061017800
3498.0,Pleasant Ave & E 120 St,40.7974772,-73.9311847,2017-10-01,2019-07-31,7730,36061019200
3499.0,2 Ave & E 122 St,40.8006721,-73.9349,2017-09-01,2019-07-31,7662,36061019400
3500.0,E 115 St & Madison Ave,40.7989445,-73.944846,2017-09-01,2019-07-31,8337,36061018400
3501.0,E 118 St & Madison Ave,40.801486600000004,-73.9442507,2017-09-01,2019-07-31,9042,36061018400
3502.0,Lexington Ave & E 111 St,40.79541210000001,-73.9441232,2017-09-01,2019-07-31,13943,36061017200
3503.0,Madison Ave & E 120 St,40.80295,-73.942954,2017-09-01,2019-07-31,6890,36061019800
3504.0,E 123 St & Lexington Ave,40.802926299999996,-73.9379,2017-09-01,2019-07-31,10133,36061019600
3505.0,Lexington Ave & E 127 St,40.805726,-73.936322,2017-11-01,2019-07-31,5610,36061024200
3506.0,Lexington Ave & E 120 St,40.8013066,-73.93981670000002,2017-09-01,2019-07-31,6367,36061019600
3507.0,Park Ave & E 124 St,40.8045555,-73.93968609999997,2017-09-01,2019-07-31,41642,36061019800
3508.0,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,2017-09-01,2019-07-31,25064,36061025700
3509.0,Lenox Ave & W 115 St,40.8011939,-73.9500739,2017-09-01,2019-07-31,16061,36061018600
3510.0,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,2017-09-01,2019-07-31,14372,36061022200
3511.0,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,2017-09-01,2019-07-31,10711,36061021800
3512.0,27 Ave & 4 St,40.7747175,-73.93378940000002,2017-10-01,2019-07-31,2214,36081008700
3513.0,21 St & Hoyt Ave S,40.774645,-73.92370600000002,2017-10-01,2019-07-31,5387,36081009500
3514.0,Astoria Park S & Shore Blvd,40.7767,-73.927631,2017-10-01,2019-07-31,9153,36081009900
3515.0,24 Ave & 26 St,40.774591,-73.918544,2017-10-01,2019-07-31,7958,36081009700
3516.0,31 St & Astoria Blvd,40.76991760000001,-73.91840570000002,2017-10-01,2019-07-31,15431,36081007100
3517.0,31 St & Hoyt Ave N,40.771152799999996,-73.9170074,2017-10-01,2019-07-31,8910,36081012500
3518.0,Lenox Ave & W 126 St,40.808442,-73.94520870000002,2017-09-01,2019-07-31,24527,36061022200
3520.0,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,2017-10-01,2019-07-31,10491,36061021800
3521.0,Lenox Ave & W 111 St,40.7987859,-73.9523,2017-10-01,2019-07-31,44600,36061021600
3522.0,37 St & 24 Ave,40.7701477,-73.9120938,2017-10-01,2019-07-31,6173,36081011700
3523.0,24 Ave & 29 St,40.7729,-73.91614200000002,2017-10-01,2019-07-31,6899,36081011500
3524.0,19 St & 24 Ave,40.77745520000001,-73.9225403,2017-10-01,2019-07-31,9509,36081009700
3525.0,23 Ave & 27 St,40.776165,-73.9153175,2017-10-01,2019-07-31,4448,36081010100
3526.0,31 St & 23 Ave,40.7747878,-73.91255509999998,2017-10-01,2019-07-31,24573,36081011500
3527.0,5 Ave & E 126 St,40.806979999999996,-73.94174699999998,2017-10-01,2019-07-31,7699,36061019800
3528.0,Steinway St & 23 Ave,40.771393700000004,-73.9077436,2017-10-01,2019-07-31,7461,36081011900
3529.0,Lenox Ave & W 130 St,40.8107922,-73.9430681,2017-09-01,2019-07-31,21639,36061020800
3530.0,Crescent St & Ditmars Blvd,40.7787185,-73.9145645,2017-10-01,2019-07-31,7077,36081010100
3531.0,Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286,2017-09-01,2019-07-31,9993,36061022400
3532.0,Ditmars Blvd & 19 St,40.78145,-73.9183302,2017-10-01,2019-07-31,10984,36081009900
3533.0,St. Nicholas Ave & W 126 St,40.8114323,-73.95187759999997,2017-09-01,2019-07-31,17906,36061021500
3534.0,Frederick Douglass Blvd & W 117 St,40.805159,-73.95469200000002,2017-10-01,2019-07-31,32980,36061021800
