station_id,station_name,lat,lon,first_trip,last_trip,geoid,trips_starting_here_2017,trips_ending_here_2017,total_trips_2017
241.0,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2013-06-01,2019-07-31,36047003100,48487,44238,92725
262.0,Washington Park,40.69178232,-73.97372989,2013-06-01,2019-07-31,36047003100,48487,44238,92725
245.0,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,2013-06-01,2019-07-31,36047003100,48487,44238,92725
279.0,Sands St & Gold St,40.69986937,-73.98271933,2013-06-01,2019-07-31,36047002300,32047,33645,65692
144.0,Nassau St & Navy St,40.69839895,-73.98068914,2013-06-01,2019-07-31,36047002300,32047,33645,65692
298.0,3 Ave & Schermerhorn St,40.68683208,-73.9796772,2013-06-01,2019-07-31,36047003700,18126,20743,38869
218.0,Gallatin Pl & Livingston St,40.69028437,-73.98707105,2013-06-01,2015-12-31,36047003700,18126,20743,38869
431.0,Hanover Pl & Livingston St,40.68864636,-73.98263429,2013-06-01,2015-09-30,36047003700,18126,20743,38869
3232.0,Bond St & Fulton St,40.68962188790333,-73.98304268717766,2015-09-01,2019-07-31,36047003700,18126,20743,38869
3486.0,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,2017-09-01,2019-07-31,36047003700,18126,20743,38869
406.0,Hicks St & Montague St,40.69512845,-73.99595065,2013-06-01,2019-07-31,36047000301,22906,22598,45504
3180.0,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,2015-07-01,2018-09-30,36047000301,22906,22598,45504
318.0,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2013-06-01,2015-10-31,36061009400,41608,37788,79396
3233.0,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,2015-10-01,2019-07-31,36061009400,41608,37788,79396
258.0,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,2013-06-01,2019-07-31,36047019700,21515,17502,39017
420.0,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2013-06-01,2019-07-31,36047019700,21515,17502,39017
508.0,W 46 St & 11 Ave,40.76341379,-73.99667444,2013-06-01,2019-07-31,36061012900,32669,32761,65430
223.0,W 13 St & 7 Ave,40.73781509,-73.99994661,2013-06-01,2019-07-31,36061007100,66118,67815,133933
383.0,Greenwich Ave & Charles St,40.735238,-74.000271,2013-06-01,2019-07-31,36061007100,66118,67815,133933
2009.0,Catherine St & Monroe St,40.71117444,-73.99682619,2013-06-01,2019-07-31,36061002500,25546,24588,50134
82.0,St James Pl & Pearl St,40.71117416,-74.00016545,2013-06-01,2019-07-31,36061002500,25546,24588,50134
266.0,Avenue D & E 8 St,40.72368361,-73.97574813,2013-06-01,2019-07-31,36061002400,23428,22216,45644
339.0,Avenue D & E 12 St,40.72580614,-73.97422494,2013-06-01,2019-07-31,36061002400,23428,22216,45644
391.0,Clark St & Henry St,40.69760127,-73.99344559,2013-06-01,2019-07-31,36047000501,22971,19345,42316
395.0,Bond St & Schermerhorn St,40.68807003,-73.98410637,2013-06-01,2017-09-30,36047004100,16240,16477,32717
3410.0,Dean St & Hoyt St,40.686444200000004,-73.98759104,2016-08-30,2019-07-31,36047004100,16240,16477,32717
411.0,E 6 St & Avenue D,40.72228087,-73.97668709,2013-06-01,2019-07-31,36061002000,36361,36658,73019
302.0,Avenue D & E 3 St,40.72082834,-73.97793172,2013-06-01,2019-07-31,36061002000,36361,36658,73019
419.0,Carlton Ave & Park Ave,40.69580705,-73.97355569,2013-06-01,2019-07-31,36047018501,7653,7873,15526
174.0,E 25 St & 1 Ave,40.7381765,-73.97738662,2013-06-01,2019-07-31,36061006200,35883,35676,71559
545.0,E 23 St & 1 Ave,40.736502,-73.97809472,2013-06-01,2019-07-31,36061006000,48619,49136,97755
119.0,Park Ave & St Edwards St,40.69608941,-73.97803415,2013-06-01,2019-07-31,36047002901,2567,2918,5485
373.0,Willoughby Ave & Walworth St,40.69331716,-73.95381995,2013-06-01,2019-07-31,36047024100,4309,4530,8839
314.0,Montague St & Clinton St,40.69424674,-73.99215922,2013-06-01,2019-07-31,36047000900,46345,44500,90845
3246.0,Montague St & Clinton St,40.694281141397326,-73.99230033159256,2016-03-01,2017-02-28,36047000900,46345,44500,90845
3242.0,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,2015-12-01,2019-07-31,36047000900,46345,44500,90845
3402.0,Court St & State St,40.6902375,-73.99203074,2016-08-26,2019-07-31,36047000900,46345,44500,90845
282.0,Kent Ave & S 11 St,40.70827295,-73.96834101,2013-06-01,2019-07-31,36047054700,16035,15248,31283
443.0,Bedford Ave & S 9th St,40.70853074,-73.96408963,2013-06-01,2019-07-31,36047054700,16035,15248,31283
407.0,Henry St & Poplar St,40.700469,-73.991454,2013-06-01,2019-05-31,36047000100,13295,11321,24616
216.0,Columbia Heights & Cranberry St,40.70037867,-73.99548059,2013-06-01,2019-07-31,36047000100,13295,11321,24616
270.0,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2013-06-01,2019-07-31,36047018300,13530,13269,26799
344.0,Monroe St & Bedford Ave,40.6851443,-73.95380904,2013-06-01,2019-07-31,36047024300,8731,8504,17235
150.0,E 2 St & Avenue C,40.720873600000004,-73.98085795,2013-06-01,2019-07-31,36061002202,24162,23398,47560
397.0,Fulton St & Clermont Ave,40.68415748,-73.96922273,2013-06-01,2019-07-31,36047017900,7801,6989,14790
289.0,Monroe St & Classon Ave,40.684568299999995,-73.95881081,2013-06-01,2019-07-31,36047022900,5993,3879,9872
322.0,Clinton St & Tillary St,40.696191999999996,-73.991218,2013-06-01,2018-11-30,36047000502,8362,7408,15770
398.0,Atlantic Ave & Furman St,40.69165183,-73.99997859999998,2013-06-01,2019-07-31,36047004700,29455,31206,60661
3422.0,Columbia St & Degraw St,40.6859296,-74.00242364,2016-08-22,2019-07-31,36047004700,29455,31206,60661
3311.0,Columbia St & Kane St,40.68763155,-74.0016256,2016-08-22,2019-07-31,36047004700,29455,31206,60661
437.0,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,2013-06-01,2019-07-31,36047024500,13757,13872,27629
242.0,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,2013-06-01,2019-07-31,36047021100,11479,12917,24396
3101.0,N 12 St & Bedford Ave,40.72079821,-73.95484712,2015-08-01,2019-07-31,36047051700,59033,60107,119140
3090.0,N 8 St & Driggs Ave,40.71774592,-73.95600096,2015-08-01,2018-11-30,36047051700,59033,60107,119140
3107.0,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,2015-08-01,2019-07-31,36047051700,59033,60107,119140
3066.0,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,2015-08-01,2019-07-31,36047025700,4384,4452,8836
3118.0,McGuinness Blvd & Eagle St,40.73555,-73.95284000000002,2015-08-01,2019-07-31,36047057500,26626,26413,53039
3113.0,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,2015-08-01,2019-07-31,36047057500,26626,26413,53039
3145.0,E 84 St & Park Ave,40.77862688,-73.95772073,2015-09-01,2019-07-31,36061014000,34337,32088,66425
3154.0,E 77 St & 3 Ave,40.77314236,-73.95856158,2015-11-01,2019-07-31,36061014000,34337,32088,66425
3144.0,E 81 St & Park Ave,40.77677702,-73.95900970000002,2015-09-01,2019-06-30,36061014000,34337,32088,66425
