GEOID,TRACT,CENTLAT,CENTLON
36005043000,43000,40.893459899999996,-73.8506574
36005043100,43100,40.8819148,-73.876638
36005043400,43400,40.898210999999996,-73.8523371
36005043500,43500,40.8945506,-73.88200309999999
36005043600,43600,40.897279499999996,-73.84975899999999
36005044200,44200,40.903867600000005,-73.8462552
36005044400,44400,40.8995005,-73.8437344
36005044800,44800,40.8954712,-73.84131020000001
36005044901,44901,40.8974999,-73.8733943
36005044902,44902,40.8988257,-73.8689887
36005045101,45101,40.89744,-73.8643289
36005045102,45102,40.9003655,-73.864136
36005045600,45600,40.888711,-73.82115019999999
36005045800,45800,40.88586110000001,-73.8452028
36005046000,46000,40.8824438,-73.84264809999999
36005046201,46201,40.8743828,-73.8273332
36005046202,46202,40.8790536,-73.83395759999999
36005048400,48400,40.8863099,-73.8345657
36005050400,50400,40.8679675,-73.79094559999999
36005051600,51600,40.8470414,-73.77893490000001
36047000100,100,40.700283,-73.99403079999999
36047000200,200,40.6532132,-74.0109709
36047000301,301,40.696416299999996,-73.9974952
36047000501,501,40.695814299999995,-73.9947007
36047000502,502,40.695134499999995,-73.99286120000001
36047000700,700,40.6923198,-73.997299
36047000900,900,40.6917355,-73.99162740000001
36047001100,1100,40.693290399999995,-73.98770859999999
36047001300,1300,40.6976319,-73.98838990000002
36047001500,1500,40.694274799999995,-73.9830225
36047001800,1800,40.6558032,-74.02572430000001
36047002000,2000,40.6480502,-74.0159179
36047002100,2100,40.7030738,-73.9868574
36047002200,2200,40.6434736,-74.02171159999999
36047002300,2300,40.6995619,-73.98327579999999
36047002901,2901,40.6949037,-73.97808549999999
36047003000,3000,40.638902,-74.0289543
36047003100,3100,40.6916118,-73.97771740000002
36047003300,3300,40.68851179999999,-73.978109
36047003400,3400,40.6436679,-74.0447241
36047003500,3500,40.6853252,-73.9761803
36047003600,3600,40.6346861,-74.0308979
36047003700,3700,40.689405,-73.9847342
36047003800,3800,40.6359281,-74.0440992
36047003900,3900,40.6849013,-73.980824
36047004100,4100,40.6865997,-73.9850537
36047004300,4300,40.6882118,-73.9896017
36047004400,4400,40.6323235,-74.0442745
36047004500,4500,40.688146,-73.995287
36047004600,4600,40.628029999999995,-74.0448327
36047004700,4700,40.6884833,-74.0021454
36047004900,4900,40.687998799999995,-73.9984363
36047005000,5000,40.62445579999999,-74.04556
36047005100,5100,40.6834631,-74.0034666
36047005201,5201,40.621505400000004,-74.04358149999999
36047005202,5202,40.6185088,-74.04466790000001
36047005300,5300,40.6721618,-74.02475849999999
36047005400,5400,40.61624929999999,-74.03982959999999
36047005601,5601,40.6140726,-74.0403074
36047005602,5602,40.610728,-74.03963459999999
36047005800,5800,40.619088700000006,-74.03218840000001
36047005900,5900,40.6794,-74.0060998
36047006000,6000,40.6220831,-74.0316042
36047006200,6200,40.624911,-74.0304459
36047006300,6300,40.681973799999994,-74.00130290000001
36047006400,6400,40.6289253,-74.0288094
36047006500,6500,40.6790574,-73.999459
36047006600,6600,40.6321309,-74.0274985
36047006700,6700,40.6841759,-73.99722320000001
36047006800,6800,40.6351749,-74.0262304
36047006900,6900,40.685234799999996,-73.9917012
36047007000,7000,40.6381681,-74.0243104
36047007100,7100,40.683309,-73.9871672
36047007200,7200,40.640342600000004,-74.0204484
36047007400,7400,40.641867,-74.0170733
36047007500,7500,40.681295299999995,-73.99201629999999
36047007600,7600,40.6440892,-74.0146726
36047007700,7700,40.6769912,-73.995249
36047007800,7800,40.64632039999999,-74.012337
36047008000,8000,40.6485378,-74.0099676
36047008200,8200,40.6507698,-74.0076247
36047008400,8400,40.65388529999999,-74.00441
36047008500,8500,40.6758571,-74.00647420000001
36047008600,8600,40.647976899999996,-74.0037438
36047008800,8800,40.650210200000004,-74.00140309999999
36047009000,9000,40.647256799999994,-73.9972994
36047009200,9200,40.645316799999996,-73.99933840000001
36047009400,9400,40.6433565,-74.0013789
36047009600,9600,40.6460153,-74.0057847
36047009800,9800,40.6437764,-74.0081153
36047010000,10000,40.641535499999996,-74.0104457
36047010100,10100,40.658383799999996,-73.9997781
36047010200,10200,40.6392844,-74.01278719999999
36047010400,10400,40.636624,-74.0083814
36047010600,10600,40.6388746,-74.00604
36047010800,10800,40.641116,-74.00371059999999
36047011000,11000,40.6445789,-73.9927738
36047011200,11200,40.6422528,-73.99567490000001
36047011400,11400,40.6394233,-73.9992118
36047011600,11600,40.635873100000005,-74.00364880000001
36047011700,11700,40.6685527,-73.9933231
36047011800,11800,40.635104399999996,-74.01148990000002
36047011900,11900,40.6753062,-73.9898368
36047012000,12000,40.6327787,-74.0117219
36047012100,12100,40.671479,-73.991049
36047012200,12200,40.6380784,-74.0176257
36047012600,12600,40.6347464,-74.0190561
36047012700,12700,40.6817476,-73.9828507
36047012801,12801,40.6308009,-74.01330279999999
36047012901,12901,40.6817265,-73.97852759999999
36047012902,12902,40.680769299999994,-73.9760267
36047013000,13000,40.6325873,-74.0213843
36047013100,13100,40.6777175,-73.9796019
36047013200,13200,40.627993700000005,-74.0156512
36047013300,13300,40.6751825,-73.98130920000001
36047013400,13400,40.629524100000005,-74.0202705
36047013500,13500,40.672810999999996,-73.98331329999999
36047013600,13600,40.6268831,-74.0225642
36047013700,13700,40.6703973,-73.9853274
36047013800,13800,40.6243111,-74.02551740000001
36047013900,13900,40.6679862,-73.9873365
36047014000,14000,40.620773799999995,-74.0196672
36047014100,14100,40.6654413,-73.9893778
36047014200,14200,40.6224953,-74.022483
36047014300,14300,40.663624,-73.9926592
36047014500,14500,40.661383799999996,-73.9949908
36047014700,14700,40.6598876,-73.9896397
36047014800,14800,40.616707700000006,-74.012961
36047014900,14900,40.6624407,-73.9851561
36047015000,15000,40.615378299999996,-74.01075859999999
36047015100,15100,40.665689,-73.9825855
36047015200,15200,40.6145083,-74.0244624
36047015300,15300,40.668100200000005,-73.9805759
36047015400,15400,40.611183200000006,-74.018907
36047015500,15500,40.6705136,-73.9785613
36047015700,15700,40.673052399999996,-73.9764165
36047015900,15900,40.675192700000004,-73.97306999999999
36047016000,16000,40.61897929999999,-74.0268696
36047016100,16100,40.679888500000004,-73.9731895
36047016200,16200,40.61322070000001,-74.031328
36047016300,16300,40.6791843,-73.9700051
36047016400,16400,40.6065055,-74.0294406
36047016500,16500,40.6699732,-73.97404329999999
36047016600,16600,40.618703100000005,-74.0162624
36047016700,16700,40.6642969,-73.9787754
36047016800,16800,40.6029949,-74.0167929
36047016900,16900,40.6592927,-73.9812838
36047017000,17000,40.6101331,-74.01263399999999
36047017100,17100,40.6569654,-73.9768592
36047017200,17200,40.6088823,-74.0103463
36047017400,17400,40.6025356,-74.0125422
36047017500,17500,40.6521348,-73.9902393
36047017600,17600,40.601228000000006,-74.0099061
36047017700,17700,40.6615905,-73.9689244
36047017800,17800,40.6069686,-74.0047234
36047017900,17900,40.684245399999995,-73.9713339
36047018000,18000,40.6083001,-74.0071512
36047018100,18100,40.687775,-73.9723679
36047018200,18200,40.6124597,-74.00268129999999
36047018300,18300,40.691376,-73.97147790000001
36047018400,18400,40.6137054,-74.0071447
36047018501,18501,40.6946997,-73.97413879999999
36047018600,18600,40.6156439,-74.0051063
36047018700,18700,40.6945722,-73.970621
36047018800,18800,40.6174779,-74.00274
36047019000,19000,40.621038,-74.00038570000001
36047019100,19100,40.695237,-73.9643647
36047019200,19200,40.6284585,-73.9989281
36047019300,19300,40.6912795,-73.9626407
36047019400,19400,40.6258369,-74.0011077
36047019500,19500,40.691410100000006,-73.9674998
36047019600,19600,40.6234234,-74.00418499999999
36047019700,19700,40.6880023,-73.9667468
36047019800,19800,40.6193594,-74.0066177
36047019900,19900,40.6840329,-73.9669265
36047020000,20000,40.620689,-74.0088197
36047020100,20100,40.6838477,-73.9633875
36047020200,20200,40.62202,-74.0110215
36047020300,20300,40.6799568,-73.9648123
36047020400,20400,40.623350200000004,-74.0132239
36047020500,20500,40.6774755,-73.9657037
36047020600,20600,40.624882799999995,-74.01544009999999
36047020700,20700,40.6749426,-73.96662359999999
36047020800,20800,40.6259761,-74.00976750000001
36047021000,21000,40.6276261,-74.0081561
36047021100,21100,40.6970778,-73.97504709999998
36047021200,21200,40.6294745,-74.00585009999999
36047021300,21300,40.668354799999996,-73.96046740000001
36047021400,21400,40.6316104,-74.0031816
36047021500,21500,40.673364,-73.963332
36047021600,21600,40.632794700000005,-73.9997692
36047021700,21700,40.6727657,-73.9590257
36047021800,21800,40.6343541,-73.9978229
36047021900,21900,40.6719739,-73.9552593
36047022000,22000,40.6361633,-73.9955594
36047022100,22100,40.676133,-73.9543632
36047022200,22200,40.638239399999996,-73.9929635
36047022400,22400,40.6405156,-73.9903118
36047022600,22600,40.641984,-73.9863474
36047022700,22700,40.6815079,-73.9572525
36047022800,22800,40.6391243,-73.9815297
36047022900,22900,40.68513170000001,-73.9567616
36047023000,23000,40.637816,-73.98428100000001
36047023100,23100,40.68578660000001,-73.96083809999999
36047023200,23200,40.6360998,-73.9862206
36047023300,23300,40.68879570000001,-73.9574901
36047023400,23400,40.63387120000001,-73.9879406
36047023500,23500,40.692513,-73.95778490000001
36047023600,23600,40.6321905,-73.9896876
36047023800,23800,40.6305112,-73.9914376
36047024000,24000,40.6288316,-73.99318620000001
36047024100,24100,40.6922221,-73.9538035
36047024200,24200,40.625867799999995,-73.9928098
36047024300,24300,40.6874555,-73.95285600000001
36047024400,24400,40.6217475,-73.98623640000001
36047024500,24500,40.682881,-73.9519012
36047024600,24600,40.6181698,-73.9811393
36047024700,24700,40.6794357,-73.9493245
36047024800,24800,40.621362899999994,-73.98999309999999
36047024900,24900,40.6829833,-73.94839040000001
36047025000,25000,40.623625700000005,-73.9958382
36047025100,25100,40.6878546,-73.9493878
36047025200,25200,40.6198289,-73.99213909999999
36047025300,25300,40.692622,-73.95033659999999
36047025400,25400,40.616697200000004,-73.9838448
36047025500,25500,40.6973922,-73.95128620000001
36047025600,25600,40.614995,-73.9856662
36047025700,25700,40.698218,-73.9473445
36047025800,25800,40.613288399999995,-73.9874098
36047025901,25901,40.6949675,-73.946224
36047025902,25902,40.696965999999996,-73.945154
36047026000,26000,40.6169171,-73.9923457
36047026100,26100,40.6923989,-73.9457142
36047026200,26200,40.618728499999996,-73.9970786
36047026300,26300,40.6894684,-73.94513140000001
36047026400,26400,40.6148679,-73.9974816
36047026500,26500,40.6869045,-73.9446206
36047026600,26600,40.61263029999999,-73.9903254
36047026700,26700,40.6839731,-73.9440382
36047026800,26800,40.6104494,-73.99036190000001
36047026900,26900,40.681282700000004,-73.94331729999999
36047027000,27000,40.605861100000006,-73.989985
36047027100,27100,40.6787263,-73.9368676
36047027200,27200,40.6081765,-73.99273840000001
36047027300,27300,40.6810841,-73.9374383
36047027400,27400,40.6109495,-73.995292
36047027500,27500,40.6838975,-73.93817890000001
36047027600,27600,40.610896399999994,-73.999489
36047027700,27700,40.6868289,-73.9387604
36047027800,27800,40.6068585,-74.0012211
36047027900,27900,40.6897594,-73.9393446
36047028000,28000,40.601003600000006,-74.0070354
36047028100,28100,40.6926888,-73.9399286
36047028200,28200,40.5996715,-74.0052079
36047028300,28300,40.6952563,-73.9404379
36047028400,28400,40.6056742,-73.9989428
36047028501,28501,40.6994266,-73.9420907
36047028502,28502,40.6974508,-73.94088520000001
36047028600,28600,40.598686,-74.00282209999999
36047028700,28700,40.69563370000001,-73.93542070000001
36047028800,28800,40.6045113,-73.99656230000001
36047028900,28900,40.6930489,-73.9330068
36047029000,29000,40.603174100000004,-73.9943478
36047029100,29100,40.6904272,-73.933541
36047029200,29200,40.5967785,-74.00117420000001
36047029300,29300,40.6874968,-73.9329582
36047029400,29400,40.594500700000005,-73.9995597
36047029500,29500,40.684566,-73.93237590000001
36047029600,29600,40.6009574,-73.9930188
36047029700,29700,40.6812727,-73.9316176
36047029800,29800,40.600823299999995,-73.98790749999999
36047029900,29900,40.678138,-73.925833
36047030000,30000,40.5974031,-73.9887444
36047030100,30100,40.6776216,-73.9162281
36047030200,30200,40.59571210000001,-73.990647
36047030300,30300,40.675115999999996,-73.91793740000001
36047030400,30400,40.590731299999995,-73.9979718
36047030500,30500,40.6773162,-73.95906070000001
36047030600,30600,40.59115560000001,-73.9861335
36047030700,30700,40.675574,-73.9262028
36047030800,30800,40.58654179999999,-73.9795129
36047030900,30900,40.6760588,-73.9329861
36047031100,31100,40.6764143,-73.9390103
36047031300,31300,40.6765685,-73.94430729999999
36047031400,31400,40.585457399999996,-73.9944462
36047031500,31500,40.6769054,-73.94992409999999
36047031701,31701,40.6738669,-73.9501241
36047031702,31702,40.671193,-73.950375
36047031900,31900,40.6668852,-73.9493978
36047032100,32100,40.6668692,-73.95218340000001
36047032300,32300,40.6665474,-73.9550745
36047032500,32500,40.66729829999999,-73.95776550000001
36047032600,32600,40.5765299,-73.9882138
36047032700,32700,40.6626465,-73.95879609999999
36047032800,32800,40.5763672,-73.99768470000001
36047032900,32900,40.6632636,-73.9484196
36047033000,33000,40.579713700000006,-73.9984578
36047033100,33100,40.6641582,-73.94200740000001
36047033300,33300,40.6658373,-73.9425263
36047033500,33500,40.6675941,-73.9423885
36047033600,33600,40.5759531,-74.0092132
36047033700,33700,40.6694017,-73.94218149999999
36047033900,33900,40.6712119,-73.94201509999999
36047034000,34000,40.5723223,-73.9964764
36047034100,34100,40.6735662,-73.9445868
36047034200,34200,40.574107700000006,-73.9968627
36047034300,34300,40.673503000000004,-73.9388377
36047034500,34500,40.6732279,-73.93369270000001
36047034700,34700,40.6726583,-73.92797220000001
36047034800,34800,40.5808297,-73.9829363
36047034900,34900,40.6682771,-73.9297783
36047035000,35000,40.5775689,-73.97890890000001
36047035100,35100,40.6684292,-73.9325474
